,zeq,apex,lat,lon,mlat,ne,Te,Tn,u,v
8533,327.2348993502728,391,-5.651,-43.427,0.09720984964916367,1234923.02848,1311.670166015625,,83.73388671875,44.93474197387695
8534,319.9786512265555,391,-5.961,-43.313,0.10261039685189498,1221958.0416,1371.0015869140625,,82.44451141357422,44.37862777709961
8535,312.33583854615244,391,-6.269,-43.2,0.1080109440546263,1196391.923712,1434.873291015625,,80.87399291992188,43.90612030029297
8536,304.3073529387466,391,-6.577,-43.086,0.11341149125735761,1157009.113088,1503.0238037109375,,78.9722671508789,43.535133361816406
8537,295.89413102759136,391,-6.884,-42.973,0.11881203846008892,1102873.100288,1575.453369140625,,76.66320037841797,43.29056930541992
8538,287.09715432023677,391,-7.19,-42.859,0.12421258566282024,1033915.334656,1652.0777587890625,,73.86685943603516,43.20855712890625
8539,277.91744909403496,391,-7.495,-42.746,0.12961313286555154,950942.236672,1732.8538818359375,,70.46623992919922,43.32682418823242
8540,268.35608627639976,391,-7.799,-42.632,0.13501368006828288,855880.695808,1817.0577392578125,,66.32949829101562,43.70207595825195
8541,258.414181319883,391,-8.103,-42.519,0.14041422727101419,751737.307136,1899.950439453125,,61.27202224731445,44.39659118652344
8542,248.0928940720314,391,-8.405,-42.405,0.1458147744737455,642316.566528,1951.719970703125,,55.07819747924805,45.50732421875
8543,237.39342864008358,391,-8.707,-42.292,0.1512153216764768,532269.30176,1903.47802734375,,47.4512939453125,47.141395568847656
8544,226.31703325048966,391,-9.007,-42.178,0.15661586887920811,426224.910336,1776.2843017578125,,38.02930450439453,49.456153869628906
8545,214.86500010329655,391,-9.307,-42.065,0.16201641608193945,328655.568896,1627.8416748046875,,26.326465606689453,52.6423454284668
8546,203.03866522138924,391,-9.606,-41.951,0.16741696328467076,243025.117184,1472.3887939453125,,11.729288101196289,56.96438217163086
8547,190.839408294637,391,-9.904,-41.838,0.17281751048740207,171600.101376,1311.694091796875,,-5.962550163269043,62.40277099609375
8548,178.26865251892468,391,-10.202,-41.724,0.17821805769013338,115303.440384,1145.9189453125,,-21.423038482666016,65.61663818359375
8549,165.32786443012446,391,-10.499,-41.611,0.1836186048928647,77094.961152,975.053466796875,,-25.650238037109375,61.009124755859375
8550,152.01855373300805,391,-10.794,-41.497,0.18901915209559603,52180.525056,799.0716552734375,,-23.93107032775879,59.47869110107422
8551,138.34227312511575,391,-11.089,-41.384,0.19441969929832734,35594.0352,617.9525146484375,,-25.64798927307129,73.60393524169922
